iter	Passed	Remaining
580	20088	49061
581	20123	49029
582	20160	49000
583	20195	48966
584	20230	48934
585	20269	48910
586	20304	48876
587	20338	48839
588	20373	48805
589	20407	48769
590	20441	48735
591	20474	48695
592	20509	48661
593	20543	48625
594	20576	48588
595	20612	48557
596	20645	48519
597	20680	48484
598	20716	48454
599	20751	48419
600	20785	48384
601	20820	48351
602	20853	48312
603	20889	48282
604	20923	48245
605	20958	48210
606	20994	48179
607	21026	48139
608	21059	48101
609	21089	48056
610	21125	48025
611	21158	47986
612	21191	47949
613	21226	47915
614	21262	47884
615	21297	47849
616	21334	47820
617	21369	47786
618	21402	47748
619	21436	47712
620	21469	47675
621	21504	47641
622	21539	47608
623	21574	47574
624	21607	47536
625	21643	47504
626	21676	47467
627	21710	47431
628	21746	47399
629	21779	47362
630	21813	47326
631	21849	47293
632	21881	47253
633	21914	47217
634	21948	47181
635	21981	47142
636	22014	47104
637	22048	47068
638	22081	47030
639	22114	46993
640	22149	46958
641	22181	46920
642	22215	46883
643	22251	46851
644	22284	46815
645	22317	46777
646	22351	46742
647	22385	46705
648	22418	46667
649	22453	46633
650	22486	46596
651	22520	46560
652	22554	46524
653	22587	46487
654	22619	46447
655	22653	46412
656	22688	46377
657	22724	46346
658	22757	46310
659	22791	46274
660	22828	46244
661	22864	46212
662	22895	46170
663	22927	46131
664	22960	46093
665	22994	46058
666	23028	46022
667	23062	45987
668	23096	45950
669	23130	45915
670	23164	45879
671	23200	45849
672	23235	45814
673	23268	45778
674	23301	45740
675	23337	45709
676	23373	45675
677	23408	45643
678	23443	45608
679	23481	45581
680	23515	45547
681	23550	45511
682	23582	45472
683	23617	45438
684	23652	45405
685	23684	45366
686	23718	45330
687	23754	45298
688	23788	45263
689	23824	45231
690	23860	45201
691	23893	45162
692	23928	45129
693	23961	45091
694	23996	45058
695	24035	45031
696	24069	44996
697	24105	44963
698	24140	44930
699	24174	44896
700	24206	44855
701	24239	44819
702	24273	44783
703	24308	44749
704	24344	44717
705	24380	44685
706	24412	44647
707	24447	44612
708	24482	44579
709	24518	44546
710	24551	44511
711	24586	44476
712	24620	44440
713	24656	44409
714	24691	44375
715	24727	44344
716	24762	44310
717	24798	44277
718	24833	44244
719	24869	44213
720	24903	44177
721	24941	44149
722	24976	44115
723	25011	44080
724	25044	44044
725	25080	44011
726	25113	43974
727	25147	43938
728	25182	43904
729	25215	43868
730	25251	43836
